Date,Time,Temperature,Humidity
2023-02-02,00:00:06,23.0,54.5
2023-02-02,00:01:05,23.0,54.5
2023-02-02,00:02:03,23.0,54.5
2023-02-02,00:03:02,23.0,54.5
2023-02-02,00:04:03,23.0,54.5
2023-02-02,00:05:01,23.0,54.5
2023-02-02,00:06:00,23.0,54.4
2023-02-02,00:06:59,23.0,54.4
2023-02-02,00:07:57,23.0,54.4
2023-02-02,00:08:56,23.0,54.5
2023-02-02,00:09:54,22.9,54.5
2023-02-02,00:10:53,23.0,54.5
2023-02-02,00:11:51,23.0,54.4
2023-02-02,00:12:50,23.0,54.4
2023-02-02,00:13:49,23.0,54.4
2023-02-02,00:14:47,23.0,54.4
2023-02-02,00:15:46,23.0,54.4
2023-02-02,00:16:44,23.0,54.4
2023-02-02,00:17:43,22.9,54.5
2023-02-02,00:18:41,22.9,54.5
2023-02-02,00:19:40,23.0,54.5
2023-02-02,00:20:39,23.0,54.4
2023-02-02,00:21:37,23.0,54.4
2023-02-02,00:22:36,23.0,54.4
2023-02-02,00:23:34,23.0,54.3
2023-02-02,00:24:33,22.9,54.4
2023-02-02,00:25:31,23.0,54.3
2023-02-02,00:26:30,22.9,54.4
2023-02-02,00:27:29,22.9,54.4
2023-02-02,00:28:27,22.9,54.4
2023-02-02,00:29:26,22.9,54.3
2023-02-02,00:30:24,22.9,54.4
2023-02-02,00:31:23,22.9,54.4
2023-02-02,00:32:21,22.9,54.3
2023-02-02,00:33:20,22.9,54.3
2023-02-02,00:34:19,22.9,54.3
2023-02-02,00:35:20,22.9,54.3
2023-02-02,00:36:21,22.9,54.4
2023-02-02,00:37:19,22.9,54.4
2023-02-02,00:38:18,22.9,54.3
2023-02-02,00:39:17,22.9,54.3
2023-02-02,00:40:15,22.9,54.2
2023-02-02,00:41:14,22.4,54.2
2023-02-02,00:42:12,22.9,54.2
2023-02-02,00:43:11,22.9,54.2
2023-02-02,00:44:09,22.9,54.3
2023-02-02,00:45:08,22.9,54.3
2023-02-02,00:46:07,22.9,54.3
2023-02-02,00:47:05,22.9,54.3
2023-02-02,00:48:04,22.9,54.2
2023-02-02,00:49:02,22.9,54.2
2023-02-02,00:50:01,22.9,54.2
2023-02-02,00:51:00,22.9,54.2
2023-02-02,00:51:58,22.9,54.2
2023-02-02,00:52:57,22.9,54.1
2023-02-02,00:53:55,22.9,54.2
2023-02-02,00:54:54,22.9,54.2
2023-02-02,00:55:52,22.9,54.2
2023-02-02,00:56:51,22.9,54.1
2023-02-02,00:57:50,22.9,54.1
2023-02-02,00:58:48,22.9,54.1
2023-02-02,00:59:47,22.9,54.1
2023-02-02,01:00:45,22.9,54.1
2023-02-02,01:01:44,22.9,54.1
